,input_text
54,"Title: Pitch Perfect 2 | Release Date: 2015-05-07 | Overview: The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams. | Directors: Elizabeth Banks | Cast: Anna Kendrick, Brittany Snow, Hailee Steinfeld, Rebel Wilson, Ester Dean | Genres: Comedy, Music | Production Companies: Brownstone Productions, Gold Circle Films, Universal Pictures | Production Countries: US"
55,"Title: Focus | Release Date: 2015-02-25 | Overview: Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans. | Directors: John Requa, Glenn Ficarra | Cast: Will Smith, Margot Robbie, Rodrigo Santoro, Gerald McRaney, Adrian Martinez | Genres: Romance, Comedy, Crime | Production Companies: K & S Films, RatPac Entertainment, Zaftig Films, Warner Bros. Pictures, Di Novi Pictures | Production Countries: US"
56,"Title: Danny Collins | Release Date: 2015-03-19 | Overview: An ageing hard-living 1970s rock star decides to change his life when he discovers a 40-year-old undelivered letter written to him by John Lennon. | Directors: Dan Fogelman | Cast: Al Pacino, Annette Bening, Christopher Plummer, Jennifer Garner, Bobby Cannavale | Genres: Music, Comedy, Drama | Production Companies: Shivhans Pictures, Big Indie Pictures, Handwritten Films | Production Countries: US"
57,"Title: The Intern | Release Date: 2015-09-23 | Overview: 70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin. | Directors: Nancy Meyers | Cast: Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm, JoJo Kushner | Genres: Comedy | Production Companies: Warner Bros. Pictures, RatPac Entertainment, Waverly Films | Production Countries: US"
58,"Title: Pixels | Release Date: 2015-07-16 | Overview: Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York. | Directors: Chris Columbus | Cast: Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage, Josh Gad | Genres: Action, Comedy, Science Fiction, Fantasy | Production Companies: Columbia Pictures, Happy Madison Productions, 1492 Pictures, LStar Capital, China Film Group Corporation, Film Croppers Entertainment, Prime Focus | Production Countries: CN, FR, IN, US"
59,"Title: Tulip Fever | Release Date: 2017-07-13 | Overview: An artist falls for a married young woman while he's commissioned to paint her portrait. The two invest in the risky tulip market in hopes to build a future together. | Directors: Justin Chadwick | Cast: Alicia Vikander, Dane DeHaan, Christoph Waltz, Judi Dench, Jack O'Connell | Genres: Drama, Romance | Production Companies: The Weinstein Company, Worldview Entertainment, Paramount Pictures, Ruby Films | Production Countries: GB, US"
60,"Title: A Monster Calls | Release Date: 2016-10-07 | Overview: 12-year-old Conor encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school. | Directors: J.A. Bayona | Cast: Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell, Ben Moor | Genres: Fantasy, Adventure, Family | Production Companies: River Road Entertainment, Participant, Apaches Films, La Trini, A Monster Calls AIE, Telecinco Cinema, Summit Entertainment, Focus Features | Production Countries: ES, US"
61,"Title: Carol | Release Date: 2015-11-20 | Overview: In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman. | Directors: Todd Haynes | Cast: Cate Blanchett, Rooney Mara, Kyle Chandler, Jake Lacy, Sarah Paulson | Genres: Romance, Drama | Production Companies: Killer Films, Number 9 Films, Film4 Productions | Production Countries: GB, US"
62,"Title: Fantastic Beasts and Where to Find Them | Release Date: 2016-11-16 | Overview: In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations. | Directors: David Yates | Cast: Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Colin Farrell | Genres: Fantasy, Adventure | Production Companies: Heyday Films, Warner Bros. Pictures | Production Countries: GB, US"
63,"Title: Incredibles 2 | Release Date: 2018-06-14 | Overview: Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children. | Directors: Brad Bird | Cast: Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner, Catherine Keener | Genres: Action, Adventure, Animation, Family | Production Companies: Walt Disney Pictures, Pixar | Production Countries: US"
64,"Title: American Ultra | Release Date: 2015-08-19 | Overview: Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive. | Directors: Nima Nourizadeh | Cast: Jesse Eisenberg, Kristen Stewart, Topher Grace, Connie Britton, Walton Goggins | Genres: Action, Comedy | Production Companies: Merced Media Partners, Lionsgate, The Bridge Finance Company, Circle of Confusion, FilmNation Entertainment, Likely Story, PalmStar Media | Production Countries: CH, US"
65,"Title: Insurgent | Release Date: 2015-03-18 | Overview: Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart. | Directors: Robert Schwentke | Cast: Shailene Woodley, Theo James, Miles Teller, Kate Winslet, Ansel Elgort | Genres: Action, Science Fiction, Thriller | Production Companies: Summit Entertainment, Red Wagon Entertainment, Mandeville Films, NeoReel, Lionsgate | Production Countries: CA, US"
66,"Title: Logan | Release Date: 2017-02-28 | Overview: In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces. | Directors: James Mangold | Cast: Hugh Jackman, Dafne Keen, Patrick Stewart, Elizabeth Rodriguez, Boyd Holbrook | Genres: Action, Drama, Science Fiction | Production Companies: Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox, Marvel Entertainment, TSG Entertainment | Production Countries: US"
67,"Title: The Gunman | Release Date: 2015-02-16 | Overview: Eight years after fleeing the Congo following his assassination of that country's minister of mining, former assassin Jim Terrier is back, suffering from PTSD and digging wells to atone for his violent past. After an attempt is made on his life, Terrier flies to London to find out who wants him dead -- and why. Terrier's search leads him to a reunion with Annie, a woman he once loved, who is now married to an oily businessman with dealings in Africa. | Directors: Pierre Morel | Cast: Sean Penn, Jasmine Trinca, Javier Bardem, Ray Winstone, Mark Rylance | Genres: Action, Drama, Crime | Production Companies: StudioCanal, Silver Pictures, Nostromo Pictures, Anton Capital Entertainment, ICEC, Prone Gunman, Prone Gunman A.I.E., Canal+, TF1 Films Production | Production Countries: FR, ES, GB, US"
68,"Title: Pan | Release Date: 2015-09-24 | Overview: Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan. | Directors: Joe Wright | Cast: Levi Miller, Garrett Hedlund, Hugh Jackman, Rooney Mara, Adeel Akhtar | Genres: Fantasy, Adventure, Family, Action | Production Companies: Moving Picture Company, Berlanti Productions, RatPac Entertainment, Warner Bros. Pictures, Isobel Griffiths, Prime Focus | Production Countries: IN, GB, US"
69,"Title: Genius | Release Date: 2016-06-10 | Overview: New York in the 1920s. Max Perkins, a literary editor is the first to sign such subsequent literary greats as Ernest Hemingway and F. Scott Fitzgerald. When a sprawling, chaotic 1,000-page manuscript by an unknown writer falls into his hands, Perkins is convinced he has discovered a literary genius. | Directors: Michael Grandage | Cast: Colin Firth, Jude Law, Nicole Kidman, Laura Linney, Guy Pearce | Genres: History, Drama | Production Companies: Pinewood Pictures, Desert Wolf Productions, Michael Grandage Company, Riverstone Pictures, Summit Entertainment | Production Countries: GB, US"
70,"Title: The BFG | Release Date: 2016-06-01 | Overview: An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world. | Directors: Steven Spielberg | Cast: Mark Rylance, Ruby Barnhill, Rebecca Hall, Jemaine Clement, Bill Hader | Genres: Adventure, Family, Fantasy | Production Companies: Walt Disney Pictures, Amblin Entertainment, Reliance Entertainment, Walden Media, The Kennedy/Marshall Company, The Roald Dahl Story Company | Production Countries: IN, GB, US"
71,"Title: Pacific Rim: Uprising | Release Date: 2018-03-21 | Overview: It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns. | Directors: Steven S. DeKnight | Cast: John Boyega, Scott Eastwood, Cailee Spaeny, Jing Tian, Rinko Kikuchi | Genres: Action, Fantasy, Science Fiction, Adventure | Production Companies: Legendary Pictures, Double Dare You | Production Countries: US"
72,"Title: Zootopia | Release Date: 2016-02-11 | Overview: Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery. | Directors: Byron Howard, Rich Moore | Cast: Jason Bateman, Ginnifer Goodwin, Idris Elba, Jenny Slate, Nate Torrence | Genres: Animation, Adventure, Family, Comedy | Production Companies: Walt Disney Animation Studios, Walt Disney Pictures | Production Countries: US"
73,"Title: It Follows | Release Date: 2015-02-04 | Overview: When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her defend herself. | Directors: David Robert Mitchell | Cast: Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary, Olivia Luccardi | Genres: Horror, Mystery | Production Companies: Two Flints, Northern Lights Films, Animal Kingdom | Production Countries: US"
